Title,average_rating,ratings_count,Amazon Link,Author,Author Gender,Book Type,Fiction / Non-Fiction,Genre,Publish Year,Rank (copy),Rank Year,Reason,Reason (Consolidated),Title (copy),Page Count,Points,Rank,Secondary Author(s),Illustrator(s),Translator(s),Series Name,State,District,Date of Challenge/Removal,Ban Status,Initiating Action,bookID,title,authors,isbn,isbn13,language_code,  num_pages,text_reviews_count,publication_date,publisher
I Am Jazz,4.12,3261,https://www.amazon.com/I-Am-Jazz-Jessica-Herthel/dp/0803741073,Jessica Herthel and Jazz Jennings,Woman,Picture Book,Non-Fiction,Children's,2014,4,2016,"challenged because it portrays a transgender child and because of offensive language, sex education, and offensive viewpoints",,I Am Jazz,32,7,4,,,,,,,,,,,,,,,,,,,
I Am Jazz,4.12,3261,https://www.amazon.com/I-Am-Jazz-Jessica-Herthel/dp/0803741073,Jessica Herthel and Jazz Jennings,Woman,Picture Book,Non-Fiction,Children's,2014,6,2019,"challenged and relocated for LGBTQIA+ content, for a transgender character, and for confronting a topic that is “sensitive, controversial, and politically charged”, political",,I Am Jazz,32,5,6,,,,,,,,,,,,,,,,,,,
I Am Jazz,4.12,3261,https://www.amazon.com/I-Am-Jazz-Jessica-Herthel/dp/0803741073,Jessica Herthel and Jazz Jennings,Woman,Picture Book,Non-Fiction,Children's,2014,10,2017,"This autobiographical picture book co-written by the 13-year-old protagonist was challenged because it addresses gender identity, transgender.",,I Am Jazz,32,1,10,,,,,,,,,,,,,,,,,,,
It’s Perfectly Normal,4.22,2011,https://www.amazon.com/Its-Perfectly-Normal-Changing-Growing/dp/0763644846,Robie Harris,Woman,Graphic Novel,Non-Fiction,Children's,1994,5,2014,"nudity, sex education, sexually explicit, unsuited for age group. Additional reasons: “alleges it is child pornography”",,It’s Perfectly Normal,89,6,5,,,,,,,,,,,,,,,,,,,
Lawn Boy,3.83,8970,https://www.amazon.com/Lawn-Boy-Jonathan-Evison/dp/1616202629,Jonathan Evison,Man,Book,Fiction,Bildungsroman,2018,2,2021,Banned and challenged for LGBTQIA+ content and because it was considered to be sexually explicit,,Lawn Boy,310,9,2,,,,,,,,,,,,,,,,,,,
Little Bill (series),3.86,5336,https://www.amazon.com/Little-Bill-Book-Beginning-Readers/dp/0590521616/ref=sr_1_3?keywords=little+bill+book&qid=1659299114&sr=8-3,Bill Cosby,Man,Picture Book,Fiction,Children's,1998,9,2016,challenged because of criminal sexual allegations against the author,,Little Bill (series),40,2,9,,,,,,,,,,,,,,,,,,,
Looking for Alaska,3.96,1656117,https://www.amazon.com/Looking-Alaska-John-Green/dp/0142402516,John Green,Man,Book,Fiction,Young Adult,2005,1,2015,"offensive language, sexually explicit, and unsuited for age group",,Looking for Alaska,297,10,1,,,,,,,,,,,,,,,,,,,
Looking for Alaska,3.96,1656117,https://www.amazon.com/Looking-Alaska-John-Green/dp/0142402516,John Green,Man,Book,Fiction,Young Adult,2005,6,2016,challenged for a sexually explicit scene that may lead a student to “sexual experimentation”,,Looking for Alaska,297,5,6,,,,,,,,,,,,,,,,,,,
Looking for Alaska,3.96,1656117,https://www.amazon.com/Looking-Alaska-John-Green/dp/0142402516,John Green,Man,Book,Fiction,Young Adult,2005,7,2013,"drugs/alcohol/smoking, sexually explicit, unsuited for age group",,Looking for Alaska,297,4,7,,,,,,,,,,,,,,,,,,,
Looking for Alaska,3.96,1656117,https://www.amazon.com/Looking-Alaska-John-Green/dp/0142402516,John Green,Man,Book,Fiction,Young Adult,2005,7,2012,"offensive language, sexually explicit, unsuited for age group",,Looking for Alaska,297,4,7,,,,,,,,,,,,,,,,,,,
Make Something Up: Stories You Can't Unread,3.51,8830,https://www.amazon.com/Make-Something-Up-Stories-Unread/dp/034580712X,Chuck Palahniuk,Man,Book,Fiction,Short Stories,2015,8,2016,"challenged for profanity, sexually explicit, and being “disgusting and all around offensive”",,Make Something Up: Stories You Can't Unread,318,3,8,,,,,,,,,,,,,,,,,,,
Me and Earl and the Dying Girl,3.51,144876,https://www.amazon.com/Earl-Dying-Girl-Jesse-Andrews/dp/1419701762,Jesse Andrews,Man,Book,Fiction,Young Adult,2012,7,2021,Banned and challenged because it was considered sexually explicit and degrading to women,,Me and Earl and the Dying Girl,304,4,7,,,,,,,,,,,,,,,,,,,
Nasreen's Secret School: A True Story from Afghanistan,4.19,1028,https://www.amazon.com/Nasreens-Secret-School-Story-Afghanistan/dp/1416994378,Jeanette Winter,Woman,Picture Book,Fiction,Children's,2009,9,2015,"religious viewpoint, unsuited for age group, and violence",,Nasreen's Secret School: A True Story from Afghanistan,40,2,9,,,,,,,,,,,,,,,,,,,
Of Mice and Men,3.87,1755253,https://www.amazon.com/Mice-Men-John-Steinbeck/dp/0140177396,John Steinbeck,Man,Book,Fiction,Realistic Fiction,1937,8,2020,"Banned and challenged for racial slurs and racist stereotypes, racism, and their negative effect on students",,Of Mice and Men,107,3,8,,,,,Iowa,Spencer Community School District,June 2024,Banned pending investigation,Administration,890,Of Mice and Men,John Steinbeck,142000671,9780142000670,eng,103,25554,1/8/2002,Penguin Books
